manuscript_id,title,filename,matches,mismatches
F154A,"She died - this was the way she died",233.tei,"",""
F1451B,"No passenger was known to flee",1980.tei,"(F1451C,No passenger was known to flee,1981.tei)|(F1451A,No passenger was known to flee,1979.tei)",""
F1314B,"Because that you are going",1758.tei,"(F1314C,Because that you are going,1760.tei)|(F1314C,Because that you are going,1760.tei)",""
F1639B,"Few yet enough",2279.tei,"",""
F1521B,"The face in evanescence lain",2090.tei,"(F1521A,The face in evanescence lain,2089.tei)",""
F920A,"Each scar I'll keep for him",1228.tei,"",""
F1183D,"Because he loves her",1566.tei,"",""
F66B,"Baffled for just a day or two",93.tei,"(F66A,Baffled for just a day or two,92.tei)",""
F442B,"I see thee better in the dark",623.tei,"",""
F1544B,"An antiquated tree",2127.tei,"",""
F1547B,"His little hearse like figure",2133.tei,"",""
F590A,"No romance sold unto",810.tei,"",""
F1036A,"The products of my farm are these",1374.tei,"",""
F1067A,"Crisis is a hair",1406.tei,"",""
F1022C,"A bold, inspiriting bird is the jay",1360.tei,"","(F1022B,A prompt - executive bird is the jay,1359.tei)"
F1357C,"Pink - small - and punctual",1823.tei,"(F1357B,Pink - small - and punctual,1822.tei)",""
F236A,"Some keep the Sabbath going to church",347.tei,"",""
F1774A,"A face devoid of love or grace",2443.tei,"",""
F1671B,"Take all away from me but leave me ecstasy",2331.tei,"",""
F1216B,"A wind that rose though not a leaf",1610.tei,"(F1216A,A wind that rose though not a leaf,1609.tei)|(F1216A,A wind that rose though not a leaf,1609.tei)",""
F1213A,"Like trains of cars on tracks of plush",1604.tei,"",""
F1216C,"A wind that rose though not a leaf",1611.tei,"",""
F1786B,"Which misses most",2456.tei,"(F1786A,Which misses most,2455.tei)",""
F1773A,"My life closed twice before it's close",2442.tei,"",""
F1357B,"Pink - small - and punctual",1822.tei,"(F1357C,Pink - small - and punctual,1823.tei)|(F1357A,Pink - small - and punctual,1821.tei)|(F1357D,Pink - small - and punctual,1824.tei)",""
F1068A,"Under the light yet under",1407.tei,"",""
F128B,"Going to heaven!",193.tei,"",""
F1023A,"Too scanty 'twas to die for you",1361.tei,"",""
F56A,"I've got an arrow here",79.tei,"",""
F1037A,"The dying need but little, dear",1375.tei,"",""
